Scene,Time,Section,Character,Voice,Speaker,Timbre,Tone,Pacing,Speed,Words,End Time,State,Video Prompt,Image Prompt
1,"00:00 - 00:08","THE HOOK","Người Kể Chuyện","Khi mảnh vỡ hận thù được hàn gắn bởi trí tuệ, ta nhận ra không phải ai cũng đủ dũng khí đối diện và buông bỏ oán kết.","Người Kể Chuyện","Trầm ấm, có độ vang","Nghiêm túc, suy tư, trầm lắng","Chậm rãi, có điểm nhấn...","1.18x (theo Dynamic Speed Matrix)","35","7.3s","OFF-SCREEN","[[CLOSE-UP SHOT], a pair of gentle, aged hands carefully reassembling fragments of a ceramic bowl using golden lacquer, the kintsugi technique, on a wooden table. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of gentle, aged hands carefully reassembling fragments of a ceramic bowl using golden lacquer (kintsugi technique), on a rustic wooden table. Golden light from a window illuminates the scene. Traditional Vietnamese aesthetic, serene, profound, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
2,"00:08 - 00:16","Rising Action","Người Kể Chuyện","Mỗi lời oán trách, mỗi ý niệm giận hờn, như hạt mầm độc gieo vào lòng đất, âm thầm lớn lên, tạo ra chuỗi nghiệp chướng dài lâu.","Người Kể Chuyện","Trầm, sắc sảo","Cảnh báo, day dứt, u ám","Vừa phải, nhấn nhá ở từ khóa.","1.18x (theo Dynamic Speed Matrix)","35","7.3s","OFF-SCREEN","[[MEDIUM SHOT], two silhouetted figures arguing fiercely under a gnarled, ancient tree, then transitioning to a close-up of a withered, dark sprout pushing through dry, cracked earth. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","MEDIUM SHOT of two silhouetted figures arguing under a gnarled ancient tree at dusk, followed by a close-up of a dark, withered sprout emerging from dry, cracked earth. Somber, solemn atmosphere, golden-hour light. Traditional Vietnamese aesthetic, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
3,"00:16 - 00:24","Rising Action","Người Ôm Hận","Tôi ôm giữ nỗi đau, sự bất công này quá lâu, từng nghĩ chỉ trả thù mới tìm được bình yên đích thực cho chính mình.","Người Ôm Hận","Khàn nhẹ, mệt mỏi","Đau khổ, u uất, đầy dằn vặt","Chậm, nặng nề...","1.18x (theo Dynamic Speed Matrix)","35","7.3s","ON-SCREEN","[[CLOSE-UP SHOT], a middle-aged man's face, etched with weariness and inner turmoil, in a dimly lit, traditional Vietnamese room. His eyes are shadowed, and his hands are clasped tightly, reflecting deep-seated frustration. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of a middle-aged man's face, tired eyes, expressing inner turmoil, in a dimly lit traditional Vietnamese room. Hands clasped tightly, subtle shadows. Solemn, contemplative mood, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
4,"00:24 - 00:32","Rising Action","Người Kể Chuyện","Luật nhân quả nhiệm màu không bao giờ chờ đợi. Nó vận hành không ngừng qua từng hành động, lời nói, và ngay cả từng hơi thở của chúng ta.","Người Kể Chuyện","Trầm ấm, rõ ràng","Trầm tĩnh, giải thích, khách quan","Thanh thoát, đều đặn.","1.18x (theo Dynamic Speed Matrix)","36","7.3s","OFF-SCREEN","[[CLOSE-UP SHOT], a hand gently dropping a small, dark stone into a perfectly still pond, creating rhythmic, expanding ripples that spread across the water's surface. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of a hand gently dropping a small, dark stone into a perfectly still pond, creating rhythmic, expanding ripples. Golden light on the water's surface, serene, reflective. Traditional Buddhist setting, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
5,"00:32 - 00:40","Rising Action","Người Ôm Hận","Giấc ngủ cứ chập chờn, tâm trí xáo trộn triền miên. Liệu đây có phải bình an mà bấy lâu nay tôi khao khát tìm kiếm?","Người Ôm Hận","Hơi run, ưu tư","Hoang mang, tự vấn, day dứt","Ngắt quãng, nhiều khoảng lặng...","1.18x (theo Dynamic Speed Matrix)","35","7.3s","ON-SCREEN","[[MEDIUM SHOT], a person sits restlessly in a serene, traditional Vietnamese meditation room, their eyes dark with fatigue and worry. Despite the soft morning light, their face shows deep anxiety and lack of peace. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","MEDIUM SHOT of a person sitting restlessly in a serene traditional Vietnamese meditation room. Dark circles under eyes, anxious expression despite soft morning light. Golden rays, peaceful setting, but character is troubled, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
6,"00:40 - 00:48","Rising Action","Người Kể Chuyện","Năng lượng tiêu cực của sân hận lan tỏa khắp nơi, không chỉ tổn hại người xung quanh, mà còn hủy hoại dần chính bản thân ta.","Người Kể Chuyện","Sâu lắng, có sức nặng","Cảnh báo, nghiêm nghị, từ tốn","Chậm, rõ ràng.","1.18x (theo Dynamic Speed Matrix)","33","7.3s","OFF-SCREEN","[[CLOSE-UP SHOT], a vibrant potted plant in a lush temple garden, but one small branch slowly withers and its leaves turn yellow and brittle, contrasting with the healthy parts. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of a vibrant potted plant in a lush temple garden, but one small branch is noticeably withering, leaves turning yellow. Golden hour light, contrast between life and decay. Serene yet melancholic, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
7,"00:48 - 00:56","Rising Action","Vị Sư Già","Tâm sân hận cuồng si bốc cháy như ngọn lửa độc, không ngừng thiêu đốt mọi an lành, thiện nghiệp ta từng vun đắp.","Vị Sư Già","Bình thản, hiền hòa, có chiều sâu","Bình thản, từ bi, nhưng ẩn chứa lời cảnh tỉnh sâu sắc","Thanh tịnh, nhẹ nhàng... có sức nặng.","1.18x (theo Dynamic Speed Matrix)","36","7.3s","ON-SCREEN","[[MEDIUM SHOT], an ancient Vietnamese Zen Master, with a serene yet profound expression, draped in traditional saffron robes, seated in meditation within a tranquil temple garden. His eyes are slightly open, conveying deep compassion and understanding. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","MEDIUM SHOT of an ancient Vietnamese Zen Master in saffron robes, seated in serene meditation in a temple garden. Eyes slightly open, expression of profound compassion and understanding. Golden light, lush foliage, tranquil, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
8,"00:56 - 01:04","Climax/Turning Point","Người Ôm Hận","Thật kỳ lạ, mọi nỗ lực của tôi đều vô ích, như thể bức tường vô hình cứ mãi ngăn cản tôi vươn lên, tìm thấy lối đi.","Người Ôm Hận","Buồn bã, có sự thất vọng","Tuyệt vọng, bế tắc, đầy sự khó hiểu","Khá chậm, có sự chán nản.","1.18x (theo Dynamic Speed Matrix)","37","7.3s","ON-SCREEN","[[CLOSE-UP SHOT], a hand carefully pouring clear water into a ceramic bowl, but the water visibly seeps out through a small, hairline crack in the bowl's side, preventing it from being filled. The bowl sits on a polished wooden surface. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of a hand pouring clear water into a ceramic bowl, but water leaks through a hairline crack. Golden light, traditional setting, symbolic of futility, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
9,"01:04 - 01:12","Climax/Turning Point","Người Kể Chuyện","Quả báo nhãn tiền đôi khi không phải tai ương hiển hiện, mà chính là tâm thức tự mình giam cầm trong xiềng xích khổ đau triền miên.","Người Kể Chuyện","Uyên thâm, có chút bi tráng","Sâu sắc, triết lý, có phần bi thương","Chậm, gằn từng chữ.","1.18x (theo Dynamic Speed Matrix)","37","7.3s","OFF-SCREEN","[[MEDIUM SHOT], the man (from scene 3 and 5) gazes into a perfectly still pond, his reflection appearing distorted and full of internal anguish, rather than peace. The surrounding temple garden is tranquil. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","MEDIUM SHOT of a troubled man gazing into a still pond, seeing a distorted, anguished reflection of himself. Tranquil temple garden setting, golden light. A moment of self-realization, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
10,"01:12 - 01:20","Climax/Turning Point","Người Ôm Hận","Dần dà, tôi nhận ra mối thù hận này đã vô tình biến tôi thành một người khác hoàn toàn, một con người xa lạ đến không ngờ.","Người Ôm Hận","Dần nhẹ nhõm, có sự băn khoăn","Hối hận, băn khoăn, nhận thức","Chậm rãi, suy tư...","1.18x (theo Dynamic Speed Matrix)","35","7.3s","ON-SCREEN","[[CLOSE-UP SHOT], a hand hesitantly reaches out to gently touch a lotus bud slowly unfurling in a tranquil pond. The person's eyes show a mix of contemplation and a dawning sense of realization, transitioning from unease to subtle peace. {lotus_gold_leaf}. [AUTO-SHIELD]: ABSOLUTE TEMPORAL COHERENCE: Slow and deliberate movements, sharp object borders. Static directional lighting, shadow coordinates locked. Permanently static background props, locked arrangement. Realistic ground friction, solid footing, zero sliding. Perfect limb separation, no clipping or hand fusion. Strict frame-to-frame clothing consistency. Perfect facial symmetry, identical symmetric circular pupils. Unified wind vector physics. Strict character count persistence, no ghost characters. ABSOLUTELY ZERO TEXT, letters, watermarks, or graphic overlays. [ASPECT RATIO LOCK]: Strictly FULL FRAME, NO black bars. (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands.] , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute.","CLOSE-UP SHOT of a hand gently touching a lotus bud in a tranquil pond, expression shifts from contemplation to subtle peace. Golden light, serene atmosphere, --no failsafe, (perfect human anatomy:1.2), exactly two arms, exactly two legs, perfect hands. , [HYBRID CORE]: 8K Resolution, Kintsugi Art + Galactic Sci-Fi Lighting. Visual Style: Liquid 24k gold slowly flowing and filling the deep cracks of an ancient stone Buddha statue floating in a subtle starry void. [PHYSICAL ANCHOR LOCK]: Golden flow shaping into a Lotus. [SCENE DYNAMICS LOCK]: Radiant golden glow dispelling deep shadows, kaleidoscopic light refractions from the gold. [AUDIO LOCK]: Strong heartbeat-like wooden block tapping, delicate Tingsha bells ringing as gold fills cracks, echoing temple flute."
